servicename,total_count,on_fkp,percent_on_fkp
safe-monitor,218,64,29.4
istio-shipping,64,64,100.0
istio-operator,64,64,100.0
spo,64,64,100.0
sam,64,64,100.0
kube-pod-recycler,60,60,100.0
integration-test-service,55,29,52.7
fit-test-twister,52,29,55.8
fit-controller-service,51,28,54.9
r53proxy,48,0,0.0
argo-rollout,39,39,100.0
istiod,36,36,100.0
istio-copilot,36,36,100.0
istio-ordering,36,36,100.0
mesh-operator,36,36,100.0
istio-metrics-service,36,36,100.0
ingressgateway,35,35,100.0
ingressassistant,35,35,100.0
fit-validator,29,19,65.5
ajnakmf,20,0,0.0
ajnawrangler,20,0,0.0
ajnaloadmgr,20,0,0.0
ajnakafka,20,0,0.0
anypoint-operator,15,15,100.0
traffic-policy-operator,15,15,100.0
uap-heartbeat-service,14,14,100.0
sdbstore,14,14,100.0
sdbarchivalworker,14,14,100.0
flowsnake-impersonation-proxy,14,14,100.0
sdb,14,14,100.0
sdbzk,14,14,100.0
sdbselfhealing,14,14,100.0
sdbcloudstore,13,13,100.0
hbase,12,12,100.0
ajnatopicapi,12,0,0.0
fs-flowsnake,10,10,100.0
cdp-inference-engine,9,0,0.0
rediscluster-manager,8,8,100.0
cdp-data-processing-controller,8,0,0.0
vegacache,8,8,100.0
zero-object-service,7,7,100.0
cdp-data-transformation-service,6,0,0.0
cdp-data-ingestion-service,6,0,0.0
ajnalionsgate,6,0,0.0
cantor,6,6,100.0
cdp-metadata-service,6,0,0.0
cdp-data-prep,6,0,0.0
cdp-istio,6,0,0.0
maiev-receiver,6,6,100.0
ajnaendpoint,6,0,0.0
cdp-query-service,6,0,0.0
istio-route-update-service,6,6,100.0
cdp-internal-ingress-gateway,6,0,0.0
cdp-realtime-mgmt-service,5,0,0.0
quantumk,5,1,20.0
sfdw-entitlement-usage-service,5,0,0.0
temporalworker,5,5,100.0
temporalhistory,5,5,100.0
cdp-data-service,5,0,0.0
dbschema-upgrade,5,5,100.0
cdp-control-box,5,2,40.0
jarvisstatusreporter,5,5,100.0
temporalui,5,5,100.0
p13n-attribution-engine,5,0,0.0
cdp-insights-engine,5,0,0.0
jarvisstoragemanager,5,5,100.0
patching-bootloader-presigner,5,5,100.0
temporalmatching,5,5,100.0
qpid,5,5,100.0
jarviscoordinator,5,5,100.0
temporalfrontend,5,5,100.0
cdp-segmentation-service,5,0,0.0
fwe-o2-sb-optimization,4,4,100.0
eanalytics-redis,4,4,100.0
wc-adapter,4,4,100.0
fwe-platform-ft,4,4,100.0
scrt2-eventrouter,4,4,100.0
gca,4,4,100.0
chronicle-zk,4,4,100.0
seas-control-plane,4,4,100.0
chronicle-orchestrator,4,4,100.0
scrt2-telephony,4,4,100.0
eanalytics-cassandra,4,4,100.0
scrt2-persist,4,4,100.0
skb-engine,4,4,100.0
fwe-o2-engine,4,4,100.0
scrt2-agent,4,4,100.0
scrt2-commongateway,4,4,100.0
bundler-clustering-fedx,4,4,100.0
orgstore-permissions,4,4,100.0
funnellogs,4,0,0.0
eanalytics-batch,4,4,100.0
scrt2-embeddedservice,4,4,100.0
jarvisapiserver,4,4,100.0
bundler-adapter-fedx,4,4,100.0
scrt2-singleton,4,4,100.0
mediaservicefd,4,4,100.0
pbsmatch,4,4,100.0
ciaccdisc,4,4,100.0
coreapp,4,4,100.0
ois,4,4,100.0
bundler-manager-fedx,4,4,100.0
scrt2-messagingchannels,4,4,100.0
bundler-avp-engine-fedx,4,4,100.0
chronicle-server,4,4,100.0
fwe-o2-optimization,4,4,100.0
fwe-o2-update-long,4,4,100.0
seas-solr,4,4,100.0
caasvb,4,4,100.0
chronicle-oracle-exporter,4,4,100.0
chronicle-loki,4,4,100.0
scrt2-controlplane,4,4,100.0
chronicle-grafana,4,4,100.0
o2-sb-data-translator-service,4,4,100.0
o2-fetch-data-service,4,4,100.0
grls-operator,4,4,100.0
hawking-app-deployment,4,4,100.0
scrt2-admin,4,4,100.0
scrt2-iaalert,4,4,100.0
eanalytics-moana,4,4,100.0
scrt2-conversation,4,4,100.0
eanalytics-ed,4,4,100.0
scrt2-livemessage,4,4,100.0
gridforce,4,4,100.0
scrt1lapp,4,4,100.0
fwe-o2-sb-update-long,4,4,100.0
eaas,4,4,100.0
chronicle-cloudwatch-exporter,4,4,100.0
scrt2-iamessage,4,4,100.0
o2-sb-fetch-data-service,4,4,100.0
caasla,4,4,100.0
funnel,4,0,0.0
wc-processor,4,4,100.0
chronicle-argus-adapter,4,4,100.0
chronicle-alert-router,4,4,100.0
crrs-fsfo-observer,4,4,100.0
chronicle-alertmanager,4,4,100.0
scrt2-routing,4,4,100.0
scrt1zk,4,4,100.0
fwe-o2-osrm-north-america,4,4,100.0
sequencer,4,4,100.0
pbsgeo,4,4,100.0
sdb-dbaas-broker,4,4,100.0
orgstore-provisioner,4,4,100.0
seas-zk,4,4,100.0
fwe-o2-s2pip,4,4,100.0
fwe-o2-matrix,4,4,100.0
eanalytics-lowlatency,4,4,100.0
inbound-mta,4,4,100.0
scrt2-mpadmin,4,4,100.0
clm-pdfgen-service,4,4,100.0
hyperforce-service-protection,4,4,100.0
seas-query-service,4,4,100.0
clm-docgen-service,4,4,100.0
o2-data-translator-service,4,4,100.0
fit-gdot-service,4,4,100.0
raphty,3,1,33.3
semantic-sql-generator,3,3,100.0
cdp-multiorg-service,3,0,0.0
ums-mta-outbound,3,3,100.0
cdp-actions-service,3,0,0.0
bot-svc-eventlogs-retry,3,3,100.0
provisioning-service,3,3,100.0
hawking-ai-observability,3,3,100.0
beacons-control-box,3,0,0.0
graph-execution-service,3,3,100.0
p13n-decisioning-pipeline,3,0,0.0
ums-dns-api,3,3,100.0
cdp-settingspath-injector,3,0,0.0
output-connector,3,3,100.0
ums-http-blackhole,3,3,100.0
cdp-data-extractor-events,3,0,0.0
hawking-istiod,3,0,0.0
mce-acdc,3,0,0.0
eventbusapi,3,3,100.0
bot-svc-ratelimit,3,3,100.0
p13n-recommendation-engine,3,0,0.0
cdp-istio-ingress-gateway,3,0,0.0
api-service,3,3,100.0
mce-compute,3,0,0.0
eflow-flow-history,3,3,100.0
cdp-beacon-ingress-gateway,3,0,0.0
ml-res-evaluator,3,3,100.0
mce-hermes-service,3,0,0.0
ums-tenant-api,3,3,100.0
cdp-pra-istio-ingress-gateway,3,0,0.0
egpt-svc-feedback,3,3,100.0
e360-email-service,3,3,100.0
mce-api-gateway,3,0,0.0
bot-svc-llmagent,3,3,100.0
bot-svc-auth,3,3,100.0
p13n-process-object-service,3,0,0.0
ums-deliverability-service,3,3,100.0
cdp-envoy-metrics-scraper,3,0,0.0
cdp-activation-service,3,0,0.0
eflow-orchestration,3,3,100.0
eflow-scheduler,3,3,100.0
eventbusruntime,3,3,100.0
semantic-engine-gateway,3,3,100.0
ums-grpc-api,3,3,100.0
evf-service,3,3,100.0
hawking-compute-eks,3,0,0.0
bot-svc-api,3,3,100.0
cdp-mgmt-cmdgateway,3,0,0.0
hawking-ml-console,3,3,100.0
mce-sto-worker,3,0,0.0
cdp-keda,3,0,0.0
hawking-oauth2,3,0,0.0
cdp-airflow-service,3,0,0.0
semantic-query-preparer,3,3,100.0
mce-sto-service,3,0,0.0
edc-inference,3,0,0.0
ums-event-service,3,3,100.0
bot-svc-agg,3,3,100.0
data-cloud-segment-gen-ai,3,3,100.0
e360-api-service,3,3,100.0
high-scale-flow,3,3,100.0
mce-goodbye,3,0,0.0
tua-insights-service,3,3,100.0
ums-config-api,3,3,100.0
scrt2-transcripts,3,3,100.0
cdp-admin-service,3,0,0.0
mce-sprinkler,3,0,0.0
cdp-infra,3,0,0.0
mce-castle-black,3,0,0.0
tua-timeseries-service,3,3,100.0
cdp-data-connectors,3,0,0.0
data-prism,3,3,100.0
hawking-istio-operator,3,0,0.0
ums-mta-inbound,3,3,100.0
mce-control-pod,3,0,0.0
mce-istio,3,0,0.0
triton,3,3,100.0
bot-svc-engine,3,3,100.0
ai-metadata-service,3,0,0.0
mvs,3,3,100.0
e360-sms-service,3,3,100.0
notebook,3,0,0.0
e360-metadata-service,3,3,100.0
interactive-data-science,3,3,100.0
caaspc,3,3,100.0
mce-eks,3,0,0.0
edc-director,3,0,0.0
einstein-ai-gateway,3,3,100.0
e360-queue-manager-service,3,3,100.0
mce-provisioner,3,0,0.0
cdp-gdpr-service,3,0,0.0
cdp-data-capture-eks,3,0,0.0
ums-mail-processor,3,3,100.0
cdp-partner-activation-service,3,0,0.0
cdp-dpc-eks,3,0,0.0
cdp-geo-provisioning-service,3,0,0.0
mce-orchard,3,0,0.0
e360-worker,3,3,100.0
cdp-profile-engine,3,0,0.0
cdp-eks,3,0,0.0
modelstore,3,3,100.0
mce-internal-ingress-gateway,3,0,0.0
cdp-beacon-metrics-scraper,3,0,0.0
cdp-billing-service,3,0,0.0
scrt2-chatbot,3,3,100.0
hawking-compute-proxy,3,0,0.0
bot-svc-llm,3,3,100.0
cdp-data-extractor-dispatcher,3,0,0.0
edc-model-builder,3,0,0.0
cdp-authentication-service,3,0,0.0
cdp-iceberg-explorer,3,0,0.0
copilot-p13n,3,3,100.0
ums-smtp-blackhole,3,3,100.0
bot-svc-agg-retry,3,3,100.0
ccp-eventprocessor,3,3,100.0
ccp-submitter,3,3,100.0
data-cloud-cdp-fabric-access,3,0,0.0
mce-envoy-metrics-scraper,3,0,0.0
ums-config-manager,3,3,100.0
bot-svc-worker,3,3,100.0
credential-service,3,0,0.0
cdp-mgmt-jit-ui,3,0,0.0
cdp-realtime-service,3,0,0.0
ccp-tracker,3,3,100.0
platform-radio,3,3,100.0
ccp-jobstate,3,3,100.0
einstein-transcribe,3,3,100.0
mce-metrics-guard,3,3,100.0
vaultlite,3,3,100.0
prediction,3,3,100.0
psp-index-manager,3,0,0.0
bot-svc-eventlogs,3,3,100.0
auth-service,3,3,100.0
mllake,3,3,100.0
hawking-istio-igw,3,0,0.0
cdp-beacon-istio,3,0,0.0
cdp-scheduler-service,3,0,0.0
cdp-hyperdb,3,0,0.0
cdp-data-extractor-crm-service,3,0,0.0
cdp-policy-engine,3,0,0.0
ccp-esproxy,3,3,100.0
ccp-server,3,3,100.0
e360-tracking-service,3,3,100.0
cdp-data-sync-service,3,0,0.0
sfs-eso-data-update,2,2,100.0
fawkes-ui,2,2,100.0
pupparazzi,2,2,100.0
sfs-eso-data-fetch,2,2,100.0
bdmpresto-superset,2,2,100.0
baas,2,0,0.0
dnr-molokai,2,0,0.0
fmt-tooling,2,2,100.0
argo-workflows,2,2,100.0
onyx-engine-control-pod,2,2,100.0
dnr-search-troll,2,2,100.0
sdb-healthreports,2,2,100.0
onyx-engine,2,2,100.0
smscanary,2,2,100.0
pkiinfra,2,0,0.0
sai-gateway,2,0,0.0
dnr-streamingsearch,2,0,0.0
skywalker,2,2,100.0
splunkmadeira,2,0,0.0
gridforce-orca,2,2,100.0
certificateservices,2,0,0.0
fmapigw,2,2,100.0
dnr-k2s,2,0,0.0
sfs-eso-orchestrator,2,2,100.0
registry,2,0,0.0
ajnamirus,2,0,0.0
keystone-async-proc,2,2,100.0
hawking-feast-serving,2,2,100.0
bdmpresto-hive-metastore,2,2,100.0
funnelevents,2,0,0.0
kraken,2,0,0.0
trino-gateway,2,2,100.0
dnrdp-orion,2,2,100.0
segint-sigma,2,2,100.0
fmapids,2,2,100.0
ump-controller,2,0,0.0
dnr-orion,2,0,0.0
tentacle,2,0,0.0
smsapi,2,2,100.0
tvm-db-automation,2,0,0.0
fmtetl,2,2,100.0
dnr-airflow,2,0,0.0
amg-topo-api,2,2,100.0
fawkes-workflowui,2,2,100.0
egpt-svc-llm-proxy,2,2,100.0
sdb-trace-analytics,2,2,100.0
segint-sigma-control-pod,2,2,100.0
fawkes-platform,2,2,100.0
amg-topo-tools,2,2,100.0
cdp-data-connectors-jobs,2,0,0.0
dnr-partitioner,2,2,100.0
cafe,2,2,100.0
smszk,2,2,100.0
private-linker-agent,2,2,100.0
fawkes-mq,2,2,100.0
onyx-agent,2,2,100.0
dnr-connector,2,0,0.0
jit,2,0,0.0
caas,2,2,100.0
fit-results-publisher,2,0,0.0
fawkes-mongo,2,2,100.0
hawking-feast-core,2,2,100.0
privateconnect-outbound-dp,2,0,0.0
sfs-eso-data-translate,2,2,100.0
mce-deviner,2,0,0.0
c2c-hf,2,2,100.0
vault-policy-manager,2,0,0.0
bdmpresto,2,2,100.0
cloudwatchexporter,2,0,0.0
dnr-prism,2,0,0.0
terraform,2,0,0.0
ajna-self-service,2,0,0.0
prom-alert-enrichment-service,2,2,100.0
semantic-analytics-agent,2,2,100.0
fawkes-api,2,2,100.0
sdb-lens,1,1,100.0
persistence-connector,1,1,100.0
batch-ingestion-service,1,1,100.0
sdb-file-notification,1,1,100.0
skywalker-reporter,1,1,100.0
bharosa,1,1,100.0
osquery-agent,1,0,0.0
ace,1,1,100.0
scalecenter,1,1,100.0
